Period Number,Down,Distance,Play Type
4,3,2,RUSH
4,1,10,RUSH
4,2,4,RUSH
4,1,10,RUSH
4,2,9,RUSH
4,3,5,RUSH
4,4,6,TIMEOUT
4,4,6,PASS
4,1,10,PASS
4,2,9,RUSH
4,3,8,RUSH
4,1,10,RUSH
4,2,8,RUSH
4,3,5,PENALTY
4,3,10,RUSH
4,4,2,RUSH
4,1,3,RUSH
4,2,5,RUSH
4,1,10,RUSH
4,2,3,TIMEOUT
4,2,3,RUSH
4,3,1,RUSH
4,1,10,RUSH
4,2,5,RUSH
1,,,KICKOFF
1,,,ATTEMPT
1,,,KICKOFF
1,1,10,PASS
1,2,7,PASS
1,3,2,RUSH
1,1,10,RUSH
1,2,10,PASS
1,3,3,RUSH
1,1,10,PASS
1,2,9,RUSH
1,3,7,PASS
1,1,10,RUSH
1,2,6,PASS
1,1,10,PASS
1,2,10,RUSH
1,3,8,PENALTY
1,3,13,PASS
1,4,13,FIELD_GOAL
1,,,KICKOFF
1,1,10,RUSH
1,2,8,PASS
1,3,2,RUSH
1,1,10,RUSH
1,2,7,PASS
1,3,1,RUSH
1,1,10,PASS
1,2,10,RUSH
2,3,9,PASS
2,4,9,FIELD_GOAL
2,,,KICKOFF
2,1,10,RUSH
2,1,10,RUSH
2,2,14,PASS
2,1,10,RUSH
2,2,10,RUSH
2,3,5,PASS
2,1,10,RUSH
2,2,10,RUSH
2,3,8,RUSH
2,4,4,PUNT
2,1,10,RUSH
2,2,10,RUSH
2,3,9,TIMEOUT
2,3,9,RUSH
2,4,6,PUNT
2,1,10,PASS
2,2,10,PASS
2,3,2,RUSH
2,4,1,TIMEOUT
2,4,1,PUNT
3,1,10,RUSH
3,2,7,PASS
3,3,7,PASS
3,1,10,PASS
3,1,10,PASS
3,2,10,PASS
3,3,10,PASS
3,1,10,PASS
3,1,10,PASS
3,1,3,RUSH
3,,,ATTEMPT
3,,,KICKOFF
3,1,10,PASS
3,2,8,PASS
3,3,8,PASS
3,1,10,PASS
3,2,9,RUSH
3,1,10,PASS
3,2,5,PASS
3,1,10,RUSH
3,1,10,RUSH
3,2,8,RUSH
3,1,4,RUSH
